?cls	?xref
<http://purl.obolibrary.org/obo/SYMP_0000598>	"ICD9CM_2005:786.0"
<http://purl.obolibrary.org/obo/SYMP_0000514>	"UMLS_ICD9CM_2005_AUI:A0284200"
<http://purl.obolibrary.org/obo/SYMP_0000514>	"UMLS_CUI:C0476271"
<http://purl.obolibrary.org/obo/SYMP_0000514>	"ICD9CM_2005:786"
<http://purl.obolibrary.org/obo/SYMP_0000488>	"UMLS_ICD9CM_2005_AUI:A0284161"
<http://purl.obolibrary.org/obo/SYMP_0000488>	"ICD9CM_2005:782.9"
<http://purl.obolibrary.org/obo/SYMP_0000488>	"UMLS_CUI:C0159037"
<http://purl.obolibrary.org/obo/SYMP_0000488>	"UMLS_ICD9CM_2005_AUI:A0284146"
<http://purl.obolibrary.org/obo/SYMP_0000488>	"ICD9CM_2005:782"
<http://purl.obolibrary.org/obo/SYMP_0000504>	"UMLS_CUI:C0018681"
<http://purl.obolibrary.org/obo/SYMP_0000504>	"ICD9CM_2005:784.0"
<http://purl.obolibrary.org/obo/SYMP_0000504>	"UMLS_ICD9CM_2005_AUI:A0065994"
<http://purl.obolibrary.org/obo/SYMP_0000459>	"UMLS_ICD9CM_2005_AUI:A0284224"
<http://purl.obolibrary.org/obo/SYMP_0000459>	"UMLS_CUI:C0159058"
<http://purl.obolibrary.org/obo/SYMP_0000459>	"ICD9CM_2005:787"
<http://purl.obolibrary.org/obo/MONDO_0003649>	"Orphanet:506136"
<http://purl.obolibrary.org/obo/MONDO_0003649>	"DOID:5784"
<http://purl.obolibrary.org/obo/MONDO_0003649>	"NCIT:C95616"
<http://purl.obolibrary.org/obo/MONDO_0003649>	"UMLS:C2987260"
<http://purl.obolibrary.org/obo/MONDO_0003649>	"GARD:22058"
<http://purl.obolibrary.org/obo/MONDO_0015292>	"GARD:19880"
<http://purl.obolibrary.org/obo/MONDO_0015292>	"Orphanet:137602"
<http://purl.obolibrary.org/obo/MONDO_0001176>	"DOID:110"
<http://purl.obolibrary.org/obo/MONDO_0001176>	"UMLS:C0549651"
<http://purl.obolibrary.org/obo/MONDO_0001176>	"ICD10CM:H25-H28"
<http://purl.obolibrary.org/obo/MONDO_0001176>	"ICD9:379.39"
<http://purl.obolibrary.org/obo/MONDO_0001176>	"NCIT:C26812"
<http://purl.obolibrary.org/obo/MONDO_0001176>	"MESH:D007905"
<http://purl.obolibrary.org/obo/MONDO_0001176>	"SCTID:10810001"
<http://purl.obolibrary.org/obo/MONDO_0002764>	"ONCOTREE:USCC"
<http://purl.obolibrary.org/obo/MONDO_0002764>	"UMLS:C1336890"
<http://purl.obolibrary.org/obo/MONDO_0002764>	"DOID:3750"
<http://purl.obolibrary.org/obo/MONDO_0002764>	"NCIT:C6165"
<http://purl.obolibrary.org/obo/MONDO_0000386>	"UMLS:C2987127"
<http://purl.obolibrary.org/obo/MONDO_0000386>	"NCIT:C95404"
<http://purl.obolibrary.org/obo/MONDO_0000386>	"DOID:0050626"
<http://purl.obolibrary.org/obo/MONDO_0000386>	"ONCOTREE:GINET"
<http://purl.obolibrary.org/obo/MONDO_0001464>	"ICD9:153.3"
<http://purl.obolibrary.org/obo/MONDO_0001464>	"UMLS:C0153436"
<http://purl.obolibrary.org/obo/MONDO_0001464>	"DOID:12192"
<http://purl.obolibrary.org/obo/MONDO_0001464>	"SCTID:363410008"
<http://purl.obolibrary.org/obo/MONDO_0018918>	"MedDRA:10007426"
