?cls	?xref
<http://purl.obolibrary.org/obo/MONDO_0004582>	"ICD9:398.0"
<http://purl.obolibrary.org/obo/MONDO_0004867>	"ICD9:478.19"
<http://purl.obolibrary.org/obo/MONDO_0004867>	"DOID:974"
<http://purl.obolibrary.org/obo/MONDO_0004867>	"SCTID:201060008"
<http://purl.obolibrary.org/obo/MONDO_0004867>	"ICD9:478.9"
<http://purl.obolibrary.org/obo/MONDO_0004867>	"ICD9:478.1"
<http://purl.obolibrary.org/obo/MONDO_0024271>	"MESH:C531698"
<http://purl.obolibrary.org/obo/MONDO_0024271>	"SCTID:26249004"
<http://purl.obolibrary.org/obo/MONDO_0024271>	"UMLS:C0348287"
<http://purl.obolibrary.org/obo/MONDO_0005002>	"ICD9:496"
<http://purl.obolibrary.org/obo/MONDO_0005002>	"NCIT:C3199"
<http://purl.obolibrary.org/obo/MONDO_0005002>	"MESH:D029424"
<http://purl.obolibrary.org/obo/MONDO_0005002>	"ICD9:490-496.99"
<http://purl.obolibrary.org/obo/MONDO_0005002>	"OMIM:606963"
<http://purl.obolibrary.org/obo/MONDO_0005002>	"EFO:0000341"
<http://purl.obolibrary.org/obo/MONDO_0005002>	"DOID:3083"
<http://purl.obolibrary.org/obo/MONDO_0005002>	"SCTID:13645005"
<http://purl.obolibrary.org/obo/MONDO_0019056>	"MESH:D009468"
<http://purl.obolibrary.org/obo/MONDO_0019056>	"ICD9:358.9"
<http://purl.obolibrary.org/obo/MONDO_0019056>	"DOID:440"
<http://purl.obolibrary.org/obo/MONDO_0019056>	"MedDRA:10029323"
<http://purl.obolibrary.org/obo/MONDO_0019056>	"ICD9:358"
<http://purl.obolibrary.org/obo/MONDO_0019056>	"Orphanet:68381"
<http://purl.obolibrary.org/obo/MONDO_0019056>	"GARD:18888"
<http://purl.obolibrary.org/obo/MONDO_0019056>	"UMLS:C0027868"
<http://purl.obolibrary.org/obo/MONDO_0019056>	"EFO:1001902"
<http://purl.obolibrary.org/obo/MONDO_0002752>	"EFO:0006460"
<http://purl.obolibrary.org/obo/MONDO_0002752>	"Orphanet:213504"
<http://purl.obolibrary.org/obo/MONDO_0002752>	"DOID:3713"
<http://purl.obolibrary.org/obo/MONDO_0002752>	"MedDRA:10051938"
<http://purl.obolibrary.org/obo/MONDO_0002752>	"GARD:20466"
<http://purl.obolibrary.org/obo/MONDO_0002752>	"NCIT:C7700"
<http://purl.obolibrary.org/obo/MONDO_0005558>	"UMLS:C4021818"
<http://purl.obolibrary.org/obo/MONDO_0005558>	"DOID:1100"
<http://purl.obolibrary.org/obo/MONDO_0005558>	"EFO:0005771"
<http://purl.obolibrary.org/obo/MONDO_0005558>	"SCTID:5552004"
<http://purl.obolibrary.org/obo/MONDO_0005558>	"NCIT:C26841"
<http://purl.obolibrary.org/obo/MONDO_0005558>	"MESH:D010049"
<http://purl.obolibrary.org/obo/MONDO_0017209>	"GARD:21066"
<http://purl.obolibrary.org/obo/MONDO_0017209>	"Orphanet:279919"
<http://purl.obolibrary.org/obo/MONDO_0000916>	"DOID:100"
<http://purl.obolibrary.org/obo/MONDO_0000916>	"ICD10CM:A00-A09"
<http://purl.obolibrary.org/obo/MONDO_0000916>	"SCTID:266071000"
<http://purl.obolibrary.org/obo/MONDO_0000916>	"ICD9:008.8"
<http://purl.obolibrary.org/obo/MONDO_0000916>	"UMLS:C0178238"
<http://purl.obolibrary.org/obo/MONDO_0000916>	"ICD9:001-009.99"
<http://purl.obolibrary.org/obo/MONDO_0004950>	"EFO:0000178"
<http://purl.obolibrary.org/obo/MONDO_0004950>	"ICD9:230.2"
<http://purl.obolibrary.org/obo/MONDO_0004950>	"SCTID:92756002"
<http://purl.obolibrary.org/obo/MONDO_0004950>	"DOID:10538"
<http://purl.obolibrary.org/obo/MONDO_0004950>	"NCIT:C4911"
<http://purl.obolibrary.org/obo/MONDO_0004950>	"ICD9:151.3"
<http://purl.obolibrary.org/obo/MONDO_0004950>	"SCTID:187741001"
<http://purl.obolibrary.org/obo/MONDO_0004950>	"DOID:5517"
<http://purl.obolibrary.org/obo/MONDO_0004950>	"UMLS:C0699791"
<http://purl.obolibrary.org/obo/MONDO_0024492>	"EFO:0005746"
<http://purl.obolibrary.org/obo/MONDO_0024492>	"NCIT:C28078"
<http://purl.obolibrary.org/obo/MONDO_0006032>	"UMLS:C0010692"
<http://purl.obolibrary.org/obo/MONDO_0006032>	"EFO:1000025"
<http://purl.obolibrary.org/obo/MONDO_0006032>	"MESH:D003556"
<http://purl.obolibrary.org/obo/MONDO_0006032>	"ICD9:595.9"
<http://purl.obolibrary.org/obo/MONDO_0006032>	"ICD9:595"
<http://purl.obolibrary.org/obo/MONDO_0006032>	"DOID:1679"
<http://purl.obolibrary.org/obo/MONDO_0006032>	"ICD9:595.89"
<http://purl.obolibrary.org/obo/MONDO_0006032>	"SCTID:38822007"
<http://purl.obolibrary.org/obo/MONDO_0006032>	"NCIT:C26738"
<http://purl.obolibrary.org/obo/MONDO_0005252>	"EFO:0003144"
<http://purl.obolibrary.org/obo/MONDO_0005252>	"SCTID:84114007"
<http://purl.obolibrary.org/obo/MONDO_0005252>	"MESH:D006333"
<http://purl.obolibrary.org/obo/MONDO_0005252>	"UMLS:C0018801"
<http://purl.obolibrary.org/obo/MONDO_0005252>	"NCIT:C50577"
<http://purl.obolibrary.org/obo/MONDO_0005252>	"ICD9:428.9"
<http://purl.obolibrary.org/obo/MONDO_0005252>	"ICD9:428"
<http://purl.obolibrary.org/obo/MONDO_0016289>	"GARD:20501"
<http://purl.obolibrary.org/obo/MONDO_0016289>	"ICD10CM:C53.0"
<http://purl.obolibrary.org/obo/MONDO_0016289>	"UMLS:C4750752"
<http://purl.obolibrary.org/obo/MONDO_0016289>	"Orphanet:213837"
<http://purl.obolibrary.org/obo/MONDO_0005308>	"UMLS:C4277690"
<http://purl.obolibrary.org/obo/MONDO_0005308>	"DOID:0060340"
<http://purl.obolibrary.org/obo/MONDO_0005308>	"EFO:0003900"
<http://purl.obolibrary.org/obo/MONDO_0005308>	"GTR:AN0966173"
<http://purl.obolibrary.org/obo/MONDO_0005308>	"GARD:21544"
<http://purl.obolibrary.org/obo/MONDO_0005308>	"Orphanet:363250"
<http://purl.obolibrary.org/obo/MONDO_0006950>	"UMLS:C0152026"
<http://purl.obolibrary.org/obo/MONDO_0006950>	"DOID:11563"
<http://purl.obolibrary.org/obo/MONDO_0006950>	"MedDRA:10038905"
<http://purl.obolibrary.org/obo/MONDO_0006950>	"EFO:1001156"
<http://purl.obolibrary.org/obo/MONDO_0006950>	"ICD9:362.18"
<http://purl.obolibrary.org/obo/MONDO_0006950>	"MESH:D031300"
<http://purl.obolibrary.org/obo/MONDO_0006950>	"SCTID:77628002"
<http://purl.obolibrary.org/obo/MONDO_0003072>	"SCTID:363465007"
<http://purl.obolibrary.org/obo/MONDO_0003072>	"ICD9:190.5"
<http://purl.obolibrary.org/obo/MONDO_0003072>	"DOID:4645"
<http://purl.obolibrary.org/obo/MONDO_0003072>	"NCIT:C3216"
<http://purl.obolibrary.org/obo/MONDO_0003072>	"EFO:0005716"
<http://purl.obolibrary.org/obo/MONDO_0003072>	"MESH:D019572"
<http://purl.obolibrary.org/obo/MONDO_0004749>	"UMLS:C0346611"
<http://purl.obolibrary.org/obo/MONDO_0004749>	"DOID:9299"
<http://purl.obolibrary.org/obo/MONDO_0004749>	"NCIT:C4569"
<http://purl.obolibrary.org/obo/MONDO_0005583>	"EFO:0005932"
<http://purl.obolibrary.org/obo/MONDO_0005583>	"UMLS:C0003047"
<http://purl.obolibrary.org/obo/MONDO_0005583>	"MESH:D000820"
<http://purl.obolibrary.org/obo/MONDO_0043541>	"UMLS:C0009774"
<http://purl.obolibrary.org/obo/MONDO_0043541>	"NCIT:C34509"
<http://purl.obolibrary.org/obo/MONDO_0043541>	"SCTID:45261009"
<http://purl.obolibrary.org/obo/MONDO_0043541>	"MESH:D003236"
<http://purl.obolibrary.org/obo/MONDO_0001358>	"EFO:1002018"
<http://purl.obolibrary.org/obo/MONDO_0001358>	"NCIT:C34439"
<http://purl.obolibrary.org/obo/MONDO_0001358>	"SCTID:41427001"
<http://purl.obolibrary.org/obo/MONDO_0001358>	"DOID:1176"
<http://purl.obolibrary.org/obo/MONDO_0001358>	"UMLS:C0006261"
<http://purl.obolibrary.org/obo/MONDO_0001358>	"MESH:D001982"
<http://purl.obolibrary.org/obo/MONDO_0001358>	"ICD9:519.19"
<http://purl.obolibrary.org/obo/MONDO_0005140>	"EFO:0001075"
<http://purl.obolibrary.org/obo/MONDO_0005140>	"NCIT:C4908"
<http://purl.obolibrary.org/obo/MONDO_0005140>	"DOID:4001"
<http://purl.obolibrary.org/obo/MONDO_0003085>	"ICD9:370.8"
<http://purl.obolibrary.org/obo/MONDO_0003085>	"ICD9:370"
<http://purl.obolibrary.org/obo/MONDO_0003085>	"UMLS:C0022568"
<http://purl.obolibrary.org/obo/MONDO_0003085>	"DOID:4677"
<http://purl.obolibrary.org/obo/MONDO_0003085>	"MESH:D007634"
<http://purl.obolibrary.org/obo/MONDO_0003085>	"SCTID:5888003"
<http://purl.obolibrary.org/obo/MONDO_0003085>	"NCIT:C26805"
<http://purl.obolibrary.org/obo/MONDO_0003085>	"ICD9:370.9"
<http://purl.obolibrary.org/obo/MONDO_0003085>	"ICD10CM:H16"
<http://purl.obolibrary.org/obo/MONDO_0000536>	"SCTID:408649007"
<http://purl.obolibrary.org/obo/MONDO_0000536>	"EFO:1001965"
<http://purl.obolibrary.org/obo/MONDO_0000536>	"UMLS:C1319317"
<http://purl.obolibrary.org/obo/MONDO_0000536>	"NCIT:C102872"
<http://purl.obolibrary.org/obo/MONDO_0000536>	"DOID:0050921"
<http://purl.obolibrary.org/obo/MONDO_0005043>	"MESH:D006965"
<http://purl.obolibrary.org/obo/MONDO_0005043>	"NCIT:C3113"
<http://purl.obolibrary.org/obo/MONDO_0005043>	"EFO:0000536"
<http://purl.obolibrary.org/obo/MONDO_0018675>	"Orphanet:449563"
<http://purl.obolibrary.org/obo/MONDO_0018675>	"GARD:21885"
<http://purl.obolibrary.org/obo/MONDO_0018675>	"UMLS:CN237741"
<http://purl.obolibrary.org/obo/MONDO_0008185>	"ICD9:577.8"
<http://purl.obolibrary.org/obo/MONDO_0008185>	"MESH:C537262"
<http://purl.obolibrary.org/obo/MONDO_0008185>	"Orphanet:676"
<http://purl.obolibrary.org/obo/MONDO_0008185>	"GARD:6632"
<http://purl.obolibrary.org/obo/MONDO_0008185>	"SCTID:68072000"
<http://purl.obolibrary.org/obo/MONDO_0008185>	"NCIT:C95436"
<http://purl.obolibrary.org/obo/MONDO_0008185>	"OMIM:167800"
<http://purl.obolibrary.org/obo/MONDO_0006295>	"ICD9:189.9"
<http://purl.obolibrary.org/obo/MONDO_0006295>	"EFO:1000363"
<http://purl.obolibrary.org/obo/MONDO_0006295>	"NCIT:C9297"
<http://purl.obolibrary.org/obo/MONDO_0006295>	"SCTID:448233000"
<http://purl.obolibrary.org/obo/MONDO_0006295>	"DOID:3996"
<http://purl.obolibrary.org/obo/MONDO_0006295>	"ICD10CM:C64-C68"
<http://purl.obolibrary.org/obo/MONDO_0019060>	"ICD10CM:C40-C41"
<http://purl.obolibrary.org/obo/MONDO_0019060>	"Orphanet:68411"
<http://purl.obolibrary.org/obo/MONDO_0019060>	"GARD:18892"
<http://purl.obolibrary.org/obo/MONDO_0019060>	"ONCOTREE:BONE"
<http://purl.obolibrary.org/obo/MONDO_0019060>	"NCIT:C9343"
<http://purl.obolibrary.org/obo/MONDO_0005036>	"DOID:3717"
<http://purl.obolibrary.org/obo/MONDO_0005036>	"EFO:0000503"
<http://purl.obolibrary.org/obo/MONDO_0005036>	"UMLS:C0278701"
<http://purl.obolibrary.org/obo/MONDO_0005036>	"ONCOTREE:STAD"
<http://purl.obolibrary.org/obo/MONDO_0005036>	"SCTID:408647009"
<http://purl.obolibrary.org/obo/MONDO_0005036>	"NCIT:C4004"
<http://purl.obolibrary.org/obo/MONDO_0005036>	"Orphanet:464463"
<http://purl.obolibrary.org/obo/MONDO_0001302>	"ICD9:402.9"
<http://purl.obolibrary.org/obo/MONDO_0001302>	"SCTID:64715009"
<http://purl.obolibrary.org/obo/MONDO_0001302>	"NCIT:C4907"
<http://purl.obolibrary.org/obo/MONDO_0001302>	"UMLS:C0152105"
<http://purl.obolibrary.org/obo/MONDO_0001302>	"ICD9:402"
<http://purl.obolibrary.org/obo/MONDO_0001302>	"DOID:11516"
<http://purl.obolibrary.org/obo/MONDO_0005815>	"GARD:22052"
<http://purl.obolibrary.org/obo/MONDO_0005815>	"DOID:1799"
<http://purl.obolibrary.org/obo/MONDO_0005815>	"EFO:0007331"
<http://purl.obolibrary.org/obo/MONDO_0005815>	"NCIT:C27031"
<http://purl.obolibrary.org/obo/MONDO_0005815>	"ICDO:8150/1"
<http://purl.obolibrary.org/obo/MONDO_0005815>	"Orphanet:506052"
<http://purl.obolibrary.org/obo/MONDO_0005815>	"SCTID:254611009"
<http://purl.obolibrary.org/obo/MONDO_0020589>	"NCIT:C147005"
<http://purl.obolibrary.org/obo/MONDO_0005299>	"UMLS:C0917798"
<http://purl.obolibrary.org/obo/MONDO_0005299>	"NCIT:C78394"
<http://purl.obolibrary.org/obo/MONDO_0005299>	"DOID:2316"
<http://purl.obolibrary.org/obo/MONDO_0005299>	"EFO:0003883"
<http://purl.obolibrary.org/obo/MONDO_0005299>	"SCTID:389100007"
<http://purl.obolibrary.org/obo/MONDO_0005299>	"MESH:D002545"
<http://purl.obolibrary.org/obo/MONDO_0005299>	"ICD9:348.89"
<http://purl.obolibrary.org/obo/MONDO_0002356>	"MESH:D010182"
<http://purl.obolibrary.org/obo/MONDO_0002356>	"NCIT:C26842"
<http://purl.obolibrary.org/obo/MONDO_0002356>	"ICD9:577.9"
<http://purl.obolibrary.org/obo/MONDO_0002356>	"SCTID:3855007"
<http://purl.obolibrary.org/obo/MONDO_0002356>	"DOID:26"
<http://purl.obolibrary.org/obo/MONDO_0002356>	"ICD9:577.8"
<http://purl.obolibrary.org/obo/MONDO_0002882>	"UMLS:C1333097"
<http://purl.obolibrary.org/obo/MONDO_0002882>	"Orphanet:100080"
<http://purl.obolibrary.org/obo/MONDO_0002882>	"GARD:19755"
<http://purl.obolibrary.org/obo/MONDO_0002882>	"NCIT:C5697"
<http://purl.obolibrary.org/obo/MONDO_0002882>	"DOID:4118"
<http://purl.obolibrary.org/obo/MONDO_0021327>	"NCIT:C9106"
<http://purl.obolibrary.org/obo/MONDO_0021327>	"SCTID:448954003"
<http://purl.obolibrary.org/obo/MONDO_0005328>	"DOID:1242"
<http://purl.obolibrary.org/obo/MONDO_0005328>	"ICD9:360.9"
<http://purl.obolibrary.org/obo/MONDO_0005328>	"DOID:5614"
<http://purl.obolibrary.org/obo/MONDO_0005328>	"NCIT:C26767"
<http://purl.obolibrary.org/obo/MONDO_0005328>	"ICD9:360"
<http://purl.obolibrary.org/obo/MONDO_0005328>	"ICD9:379.8"
<http://purl.obolibrary.org/obo/MONDO_0005328>	"MESH:D005128"
<http://purl.obolibrary.org/obo/MONDO_0005328>	"ICD9:360.29"
<http://purl.obolibrary.org/obo/MONDO_0005328>	"EFO:0003966"
<http://purl.obolibrary.org/obo/MONDO_0005328>	"SCTID:371405004"
<http://purl.obolibrary.org/obo/MONDO_0005328>	"ICD9:379.90"
<http://purl.obolibrary.org/obo/MONDO_0005328>	"ICD9:360.89"
<http://purl.obolibrary.org/obo/MONDO_0005328>	"UMLS:C4316870"
<http://purl.obolibrary.org/obo/MONDO_0005575>	"Orphanet:466667"
<http://purl.obolibrary.org/obo/MONDO_0005575>	"DOID:9256"
<http://purl.obolibrary.org/obo/MONDO_0005575>	"DOID:5672"
<http://purl.obolibrary.org/obo/MONDO_0005575>	"SCTID:363510005"
<http://purl.obolibrary.org/obo/MONDO_0005575>	"UMLS:C1527249"
<http://purl.obolibrary.org/obo/MONDO_0005575>	"EFO:0005842"
<http://purl.obolibrary.org/obo/MONDO_0005575>	"NCIT:C4978"
<http://purl.obolibrary.org/obo/MONDO_0005575>	"OMIM:114500"
<http://purl.obolibrary.org/obo/MONDO_0021074>	"MESH:D011230"
<http://purl.obolibrary.org/obo/MONDO_0021074>	"NCIT:C3341"
<http://purl.obolibrary.org/obo/MONDO_0006955>	"MESH:D012214"
<http://purl.obolibrary.org/obo/MONDO_0006955>	"EFO:1001161"
<http://purl.obolibrary.org/obo/MONDO_0006955>	"MedDRA:10062110"
<http://purl.obolibrary.org/obo/MONDO_0006955>	"NCIT:C34882"
<http://purl.obolibrary.org/obo/MONDO_0006955>	"ICD9:398.99"
<http://purl.obolibrary.org/obo/MONDO_0006955>	"DOID:0050827"
<http://purl.obolibrary.org/obo/MONDO_0006955>	"SCTID:23685000"
<http://purl.obolibrary.org/obo/MONDO_0006955>	"ICD9:398.90"
<http://purl.obolibrary.org/obo/MONDO_0007186>	"OMIM:109350"
<http://purl.obolibrary.org/obo/MONDO_0007186>	"SCTID:235595009"
<http://purl.obolibrary.org/obo/MONDO_0007186>	"DOID:8534"
<http://purl.obolibrary.org/obo/MONDO_0007186>	"MESH:D005764"
<http://purl.obolibrary.org/obo/MONDO_0007186>	"EFO:0003948"
<http://purl.obolibrary.org/obo/MONDO_0007186>	"NCIT:C26781"
<http://purl.obolibrary.org/obo/MONDO_0007186>	"UMLS:C0017168"
<http://purl.obolibrary.org/obo/MONDO_0007186>	"ICD9:530.81"
<http://purl.obolibrary.org/obo/MONDO_0000888>	"ICD9:538"
<http://purl.obolibrary.org/obo/MONDO_0000888>	"UMLS:C0521585"
<http://purl.obolibrary.org/obo/MONDO_0000888>	"ICD9:558.9"
<http://purl.obolibrary.org/obo/MONDO_0000888>	"SCTID:95518006"
<http://purl.obolibrary.org/obo/MONDO_0000888>	"DOID:0080178"
<http://purl.obolibrary.org/obo/MONDO_0000888>	"NCIT:C3853"
<http://purl.obolibrary.org/obo/MONDO_0002032>	"NCIT:C4910"
<http://purl.obolibrary.org/obo/MONDO_0002032>	"SCTID:269533000"
<http://purl.obolibrary.org/obo/MONDO_0002032>	"UMLS:C0699790"
<http://purl.obolibrary.org/obo/MONDO_0002032>	"EFO:1001950"
<http://purl.obolibrary.org/obo/MONDO_0002032>	"DOID:1520"
<http://purl.obolibrary.org/obo/MONDO_0005028>	"EFO:0000478"
<http://purl.obolibrary.org/obo/MONDO_0005028>	"ONCOTREE:ESCA"
<http://purl.obolibrary.org/obo/MONDO_0005028>	"Orphanet:99976"
<http://purl.obolibrary.org/obo/MONDO_0005028>	"UMLS:C0279628"
<http://purl.obolibrary.org/obo/MONDO_0005028>	"SCTID:276803003"
<http://purl.obolibrary.org/obo/MONDO_0005028>	"GARD:16927"
<http://purl.obolibrary.org/obo/MONDO_0005028>	"NCIT:C4025"
<http://purl.obolibrary.org/obo/MONDO_0005028>	"DOID:4914"
<http://purl.obolibrary.org/obo/MONDO_0006858>	"SCTID:118938008"
<http://purl.obolibrary.org/obo/MONDO_0006858>	"DOID:403"
<http://purl.obolibrary.org/obo/MONDO_0006858>	"NCIT:C3240"
<http://purl.obolibrary.org/obo/MONDO_0006858>	"UMLS:C0026636"
<http://purl.obolibrary.org/obo/MONDO_0006858>	"ICD9:528.9"
<http://purl.obolibrary.org/obo/MONDO_0006858>	"EFO:1001047"
<http://purl.obolibrary.org/obo/MONDO_0006858>	"MESH:D009059"
<http://purl.obolibrary.org/obo/MONDO_0044349>	"UMLS:C1263995"
<http://purl.obolibrary.org/obo/MONDO_0044349>	"SCTID:127039000"
<http://purl.obolibrary.org/obo/MONDO_0005138>	"DOID:3905"
<http://purl.obolibrary.org/obo/MONDO_0005138>	"EFO:0001071"
<http://purl.obolibrary.org/obo/MONDO_0005138>	"NCIT:C4878"
<http://purl.obolibrary.org/obo/MONDO_0005138>	"UMLS:C0684249"
<http://purl.obolibrary.org/obo/MONDO_0001740>	"NCIT:C4552"
<http://purl.obolibrary.org/obo/MONDO_0001740>	"DOID:13538"
<http://purl.obolibrary.org/obo/MONDO_0001740>	"SCTID:255008003"
<http://purl.obolibrary.org/obo/MONDO_0001740>	"UMLS:C0346366"
<http://purl.obolibrary.org/obo/MONDO_0005516>	"UMLS:C0029422"
<http://purl.obolibrary.org/obo/MONDO_0005516>	"MESH:D010009"
<http://purl.obolibrary.org/obo/MONDO_0005516>	"NCIT:C84978"
<http://purl.obolibrary.org/obo/MONDO_0005516>	"ICD9:756.4"
<http://purl.obolibrary.org/obo/MONDO_0005516>	"EFO:0005571"
<http://purl.obolibrary.org/obo/MONDO_0005516>	"DOID:2256"
<http://purl.obolibrary.org/obo/MONDO_0005516>	"SCTID:105985007"
<http://purl.obolibrary.org/obo/MONDO_0024636>	"SCTID:399617002"
<http://purl.obolibrary.org/obo/MONDO_0024636>	"ICD9:429.89"
<http://purl.obolibrary.org/obo/MONDO_0018837>	"GARD:18835"
<http://purl.obolibrary.org/obo/MONDO_0018837>	"UMLS:C4510302"
<http://purl.obolibrary.org/obo/MONDO_0018837>	"Orphanet:48435"
<http://purl.obolibrary.org/obo/MONDO_0018837>	"SCTID:724063005"
<http://purl.obolibrary.org/obo/MONDO_0001128>	"UMLS:C0728864"
<http://purl.obolibrary.org/obo/MONDO_0001128>	"SCTID:363422006"
<http://purl.obolibrary.org/obo/MONDO_0001128>	"DOID:10811"
<http://purl.obolibrary.org/obo/MONDO_0001128>	"NCIT:C4918"
<http://purl.obolibrary.org/obo/MONDO_0001128>	"ICD9:160.0"
<http://purl.obolibrary.org/obo/MONDO_0024905>	"UMLS:C0005591"
<http://purl.obolibrary.org/obo/MONDO_0024905>	"MESH:D001715"
<http://purl.obolibrary.org/obo/MONDO_0002263>	"DOID:229"
<http://purl.obolibrary.org/obo/MONDO_0002263>	"NCIT:C27020"
<http://purl.obolibrary.org/obo/MONDO_0002263>	"ICD9:629.9"
<http://purl.obolibrary.org/obo/MONDO_0002263>	"SCTID:310789003"
<http://purl.obolibrary.org/obo/MONDO_0002263>	"MESH:D005831"
<http://purl.obolibrary.org/obo/MONDO_0800064>	"HP:0004349"
<http://purl.obolibrary.org/obo/MONDO_0021092>	"MESH:D005185"
<http://purl.obolibrary.org/obo/MONDO_0021092>	"NCIT:C3032"
<http://purl.obolibrary.org/obo/MONDO_0021092>	"UMLS:C0015558"
<http://purl.obolibrary.org/obo/MONDO_0021092>	"ICD9:239.5"
<http://purl.obolibrary.org/obo/MONDO_0021092>	"SCTID:126916003"
<http://purl.obolibrary.org/obo/MONDO_0006504>	"DOID:0060158"
<http://purl.obolibrary.org/obo/MONDO_0006504>	"EFO:1000639"
<http://purl.obolibrary.org/obo/MONDO_0002158>	"SCTID:363444001"
<http://purl.obolibrary.org/obo/MONDO_0002158>	"MedDRA:10025915"
<http://purl.obolibrary.org/obo/MONDO_0002158>	"ICD9:183.2"
<http://purl.obolibrary.org/obo/MONDO_0002158>	"GARD:20204"
<http://purl.obolibrary.org/obo/MONDO_0002158>	"DOID:1964"
<http://purl.obolibrary.org/obo/MONDO_0002158>	"Orphanet:180242"
<http://purl.obolibrary.org/obo/MONDO_0002158>	"NCIT:C7480"
<http://purl.obolibrary.org/obo/MONDO_0003502>	"NCIT:C6154"
<http://purl.obolibrary.org/obo/MONDO_0003502>	"DOID:5539"
<http://purl.obolibrary.org/obo/MONDO_0003502>	"UMLS:C1336879"
<http://purl.obolibrary.org/obo/MONDO_0000569>	"DOID:0060005"
<http://purl.obolibrary.org/obo/MONDO_0000569>	"SCTID:237822008"
<http://purl.obolibrary.org/obo/MONDO_0000569>	"ICD9:279.49"
<http://purl.obolibrary.org/obo/MONDO_0000569>	"UMLS:C0342552"
<http://purl.obolibrary.org/obo/MONDO_0002807>	"EFO:1000849"
<http://purl.obolibrary.org/obo/MONDO_0002807>	"DOID:3906"
<http://purl.obolibrary.org/obo/MONDO_0002807>	"MESH:D001984"
<http://purl.obolibrary.org/obo/MONDO_0002807>	"UMLS:C0006264"
<http://purl.obolibrary.org/obo/MONDO_0002807>	"SCTID:126705004"
<http://purl.obolibrary.org/obo/MONDO_0002807>	"HP:0030077"
<http://purl.obolibrary.org/obo/MONDO_0006794>	"EFO:1000974"
<http://purl.obolibrary.org/obo/MONDO_0006794>	"MedDRA:10020764"
<http://purl.obolibrary.org/obo/MONDO_0006794>	"NCIT:C82863"
<http://purl.obolibrary.org/obo/MONDO_0006794>	"ICD9:446.29"
<http://purl.obolibrary.org/obo/MONDO_0006794>	"SCTID:60555002"
<http://purl.obolibrary.org/obo/MONDO_0006794>	"DOID:9809"
<http://purl.obolibrary.org/obo/MONDO_0006794>	"ICD9:446.2"
<http://purl.obolibrary.org/obo/MONDO_0006794>	"ICD9:446.20"
<http://purl.obolibrary.org/obo/MONDO_0003612>	"DOID:5727"
<http://purl.obolibrary.org/obo/MONDO_0003612>	"UMLS:C0864950"
<http://purl.obolibrary.org/obo/MONDO_0003612>	"NCIT:C126498"
<http://purl.obolibrary.org/obo/MONDO_0004338>	"DOID:771"
<http://purl.obolibrary.org/obo/MONDO_0004338>	"UMLS:C1335765"
<http://purl.obolibrary.org/obo/MONDO_0004338>	"NCIT:C7061"
<http://purl.obolibrary.org/obo/MONDO_0002116>	"NCIT:C7430"
<http://purl.obolibrary.org/obo/MONDO_0002116>	"SCTID:255088001"
<http://purl.obolibrary.org/obo/MONDO_0002116>	"UMLS:C0346648"
<http://purl.obolibrary.org/obo/MONDO_0002116>	"DOID:1795"
<http://purl.obolibrary.org/obo/MONDO_0019218>	"GARD:18949"
<http://purl.obolibrary.org/obo/MONDO_0019218>	"Orphanet:79168"
<http://purl.obolibrary.org/obo/MONDO_0019218>	"GTR:AN0923838"
<http://purl.obolibrary.org/obo/MONDO_0019218>	"UMLS:CN231736"
<http://purl.obolibrary.org/obo/MONDO_0021581>	"ICD9:239.2"
<http://purl.obolibrary.org/obo/MONDO_0021581>	"UMLS:C0027656"
<http://purl.obolibrary.org/obo/MONDO_0021581>	"MESH:D009372"
<http://purl.obolibrary.org/obo/MONDO_0021581>	"SCTID:126598008"
<http://purl.obolibrary.org/obo/MONDO_0003671>	"DOID:5846"
<http://purl.obolibrary.org/obo/MONDO_0003781>	"ICD9:491"
<http://purl.obolibrary.org/obo/MONDO_0003781>	"EFO:0009661"
<http://purl.obolibrary.org/obo/MONDO_0003781>	"DOID:6132"
<http://purl.obolibrary.org/obo/MONDO_0003781>	"ICD9:466.0"
<http://purl.obolibrary.org/obo/MONDO_0003781>	"MESH:D001991"
<http://purl.obolibrary.org/obo/MONDO_0003781>	"ICD9:490"
<http://purl.obolibrary.org/obo/MONDO_0003781>	"ICD9:491.9"
<http://purl.obolibrary.org/obo/MONDO_0003781>	"SCTID:32398004"
<http://purl.obolibrary.org/obo/MONDO_0003781>	"CSP:2596-1500"
<http://purl.obolibrary.org/obo/MONDO_0003781>	"NCIT:C2911"
<http://purl.obolibrary.org/obo/MONDO_0003781>	"UMLS:C0006277"
<http://purl.obolibrary.org/obo/MONDO_0044751>	"UMLS:C0401151"
<http://purl.obolibrary.org/obo/MONDO_0044751>	"SCTID:236071009"
<http://purl.obolibrary.org/obo/MONDO_0020579>	"NCIT:C115965"
<http://purl.obolibrary.org/obo/MONDO_0020579>	"MESH:D052016"
<http://purl.obolibrary.org/obo/MONDO_0018534>	"Orphanet:424975"
<http://purl.obolibrary.org/obo/MONDO_0018534>	"UMLS:C4749400"
<http://purl.obolibrary.org/obo/MONDO_0018534>	"GARD:21789"
<http://purl.obolibrary.org/obo/MONDO_0005626>	"MESH:D009375"
<http://purl.obolibrary.org/obo/MONDO_0005626>	"EFO:0006858"
<http://purl.obolibrary.org/obo/MONDO_0005626>	"SCTID:118285006"
